,Census Tract,County,"Hospitalization_Census_Tract_Rate_per_100,000","Hospitlization_State_Rate_per_100,000",Adult_Pop_Over_18,Census_Tract_Estimate,Pop_Total,Pop_Density/Sq_Mile,Percent_Poverty,Median_Household_Income,Poverty_Mean_Household_Income,Per_Capita_Income,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,Urban,Rural,Low_Income_Tract,Percent_Education_Population_AgeOver24_LessThan9th,Percent_Education_Population_AgeOver24_NoHSDiploma,Percent_Education_Population_AgeOver24_HSD_Higher,Percent_Education_Population_AgeOver24_Bachelors_Higher
1174,8005081900,ARAPAHOE,2456.09,1267.78,4826,8.3,6745,6678.2,24.2,41499.0,53171.0,19286,0,1,0,0,1,0,1,10.9,22.6,77.4,13.4
1175,8005082000,ARAPAHOE,3003.32,1267.78,3006,5.8,4250,3373.0,24.4,41518.0,44591.0,18929,0,1,0,1,1,0,1,6.8,12.2,87.8,23.1
1176,8005081400,ARAPAHOE,1564.82,1267.78,3363,9.0,4229,4146.1,11.0,65833.0,73909.0,29334,0,0,0,0,1,0,0,4.6,8.4,91.6,36.2
1177,8005007202,ARAPAHOE,4678.54,1267.78,2793,6.6,3997,6245.3,24.6,35361.0,46798.0,17130,0,1,0,1,1,0,1,13.3,25.4,74.6,10.1
1178,8041007500,EL PASO,882.59,1267.78,6410,7.7,8634,141.1,1.0,122292.0,143786.0,49329,0,0,0,0,0,1,0,1.0,1.6,98.4,62.6
1179,8041003909,EL PASO,1340.08,1267.78,5125,7.2,7048,22.2,7.4,69224.0,82232.0,28890,0,0,0,0,0,1,0,0.4,5.4,94.5,29.8
1180,8041002300,EL PASO,4038.86,1267.78,1605,8.6,1743,1428.7,35.3,20217.0,40257.0,23299,1,1,1,1,1,0,1,2.6,11.5,88.5,25.4
1181,8005087200,ARAPAHOE,970.36,1267.78,3525,5.6,4302,4780.0,19.9,52443.0,74542.0,38201,1,1,1,0,1,0,1,2.2,4.1,95.9,60.0
1182,8005085000,ARAPAHOE,2045.8,1267.78,1235,7.0,1674,1339.2,2.6,107917.0,150984.0,54342,0,0,0,0,1,0,0,2.3,3.3,96.7,48.4
1183,8005083800,ARAPAHOE,1367.83,1267.78,2339,7.6,3095,6190.0,5.9,65855.0,93912.0,35595,0,0,0,0,1,0,0,1.1,4.8,95.2,33.9
1184,8005007105,ARAPAHOE,1775.81,1267.78,3718,7.0,5650,167.6,7.3,85156.0,107528.0,34145,0,0,0,0,0,1,0,2.3,6.9,93.1,28.5
1185,8005007104,ARAPAHOE,1992.63,1267.78,3672,5.1,5708,266.1,2.3,93147.0,102669.0,28399,0,0,0,0,0,1,0,2.0,4.2,95.8,40.7
1186,8005086000,ARAPAHOE,2065.48,1267.78,5359,6.0,8151,6270.0,5.3,92960.0,102000.0,31432,0,0,0,0,1,0,0,2.7,3.4,96.6,46.0
1187,8005007106,ARAPAHOE,1426.85,1267.78,3945,5.8,5722,88.8,5.9,115865.0,118492.0,37867,0,0,0,0,0,1,0,2.1,4.2,95.8,51.2
