OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,Diabetes_Census_Tract_Estimate,Diabetes_Estimate_Confidence_Interval,Diabetes_Map_Symbol_withinHSR,Diabetes_County_Regional_Estimate,Diabetes_Map_Symbol_State,Diabetes_State_Estimate
388,8013012101,"Census Tract 121.01, Boulder County, Colorado",Boulder,3689,16,4.3,95% C.I.: 4.1 - 4.6,Second Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
389,8013013205,"Census Tract 132.05, Boulder County, Colorado",Boulder,4307,16,4.5,95% C.I.: 4.2 - 4.8,Second Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
390,8013013306,"Census Tract 133.06, Boulder County, Colorado",Boulder,3643,16,4.6,95% C.I.: 4.3 - 5,Middle Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
391,8013012201,"Census Tract 122.01, Boulder County, Colorado",Boulder,3663,16,3.6,95% C.I.: 3.4 - 3.8,Lowest Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
392,8013012705,"Census Tract 127.05, Boulder County, Colorado",Boulder,3538,16,3.9,95% C.I.: 3.6 - 4.2,Lowest Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
393,8013012708,"Census Tract 127.08, Boulder County, Colorado",Boulder,4157,16,5,95% C.I.: 4.7 - 5.3,Fourth Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
394,8013013601,"Census Tract 136.01, Boulder County, Colorado",Boulder,3141,16,4.4,95% C.I.: 4.1 - 4.6,Second Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
395,8013012710,"Census Tract 127.10, Boulder County, Colorado",Boulder,2778,16,5.2,95% C.I.: 5 - 5.5,Fourth Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
396,8013013701,"Census Tract 137.01, Boulder County, Colorado",Boulder,5106,16,5.3,95% C.I.: 5 - 5.6,Fourth Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
397,8013013702,"Census Tract 137.02, Boulder County, Colorado",Boulder,4970,16,4.3,95% C.I.: 4.1 - 4.5,Second Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
398,8013013202,"Census Tract 132.02, Boulder County, Colorado",Boulder,1257,16,4.9,95% C.I.: 4.7 - 5.2,Middle Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
399,8013012204,"Census Tract 122.04, Boulder County, Colorado",Boulder,3951,16,2.8,95% C.I.: 2.6 - 3.1,Lowest Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
400,8013013602,"Census Tract 136.02, Boulder County, Colorado",Boulder,777,16,5.7,95% C.I.: 5.4 - 6,Highest Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
401,8013012903,"Census Tract 129.03, Boulder County, Colorado",Boulder,1904,16,5,95% C.I.: 4.7 - 5.3,Middle Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
402,8013012501,"Census Tract 125.01, Boulder County, Colorado",Boulder,2306,16,4.5,95% C.I.: 4.2 - 4.9,Second Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
403,8013012603,"Census Tract 126.03, Boulder County, Colorado",Boulder,2875,16,4.3,95% C.I.: 4.1 - 4.6,Second Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
404,8013012511,"Census Tract 125.11, Boulder County, Colorado",Boulder,5712,16,4.1,95% C.I.: 3.8 - 4.4,Lowest Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
405,8013012709,"Census Tract 127.09, Boulder County, Colorado",Boulder,1482,16,4.7,95% C.I.: 4.5 - 4.9,Middle Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
406,8075966300,"Census Tract 9663, Logan County, Colorado",Logan,3656,1,12,95% C.I.: 10.7 - 13.9,Fourth Quintile,County/Regional Estimate 10.2% (95% C.I.: 6.8 - 13.6),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
407,8075966200,"Census Tract 9662, Logan County, Colorado",Logan,3442,1,6.1,95% C.I.: 5.3 - 8.1,Lowest Quintile,County/Regional Estimate 10.2% (95% C.I.: 6.8 - 13.6),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
408,8075966100,"Census Tract 9661, Logan County, Colorado",Logan,5667,1,11.2,95% C.I.: 9.9 - 13.1,Middle Quintile,County/Regional Estimate 10.2% (95% C.I.: 6.8 - 13.6),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
409,8075966000,"Census Tract 9660, Logan County, Colorado",Logan,1659,1,9.9,95% C.I.: 8.8 - 11.5,Second Quintile,County/Regional Estimate 10.2% (95% C.I.: 6.8 - 13.6),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
410,8075966400,"Census Tract 9664, Logan County, Colorado",Logan,1690,1,9.5,95% C.I.: 8.5 - 11.8,Second Quintile,County/Regional Estimate 10.2% (95% C.I.: 6.8 - 13.6),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
411,8075965900,"Census Tract 9659, Logan County, Colorado",Logan,1094,1,9.9,95% C.I.: 8.9 - 11.9,Second Quintile,County/Regional Estimate 10.2% (95% C.I.: 6.8 - 13.6),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
412,8013060800,"Census Tract 608, Boulder County, Colorado",Boulder,5673,16,4,95% C.I.: 3.7 - 4.4,Lowest Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
413,8013013507,"Census Tract 135.07, Boulder County, Colorado",Boulder,2609,16,5.1,95% C.I.: 4.7 - 5.5,Fourth Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
414,8013013505,"Census Tract 135.05, Boulder County, Colorado",Boulder,3129,16,5.2,95% C.I.: 4.8 - 5.7,Fourth Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
415,8013013212,"Census Tract 132.12, Boulder County, Colorado",Boulder,3622,16,4.7,95% C.I.: 4.4 - 5.1,Middle Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
416,8013061300,"Census Tract 613, Boulder County, Colorado",Boulder,2412,16,3.9,95% C.I.: 3.7 - 4.2,Lowest Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
417,8013061400,"Census Tract 614, Boulder County, Colorado",Boulder,2556,16,4.7,95% C.I.: 4.4 - 5.3,Middle Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
418,8013012607,"Census Tract 126.07, Boulder County, Colorado",Boulder,5238,16,2.6,95% C.I.: 2.4 - 2.9,Lowest Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
419,8013013508,"Census Tract 135.08, Boulder County, Colorado",Boulder,5552,16,4.3,95% C.I.: 4.1 - 4.6,Second Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
420,8013013506,"Census Tract 135.06, Boulder County, Colorado",Boulder,3357,16,5.1,95% C.I.: 4.7 - 5.4,Fourth Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
421,8013013213,"Census Tract 132.13, Boulder County, Colorado",Boulder,5929,16,4.2,95% C.I.: 4 - 4.5,Second Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
422,8013012608,"Census Tract 126.08, Boulder County, Colorado",Boulder,2203,16,3.7,95% C.I.: 3.5 - 4,Lowest Quintile,County/Regional Estimate 5% (95% C.I.: 3.9 - 6),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
