OBJECTID,Census_Tract_FIPS,Census_Tract_Name,County_Name,Adult_Population_Age18_and_over,Health_Statistics_Region,Diabetes_Census_Tract_Estimate,Diabetes_Estimate_Confidence_Interval,Diabetes_Map_Symbol_withinHSR,Diabetes_County_Regional_Estimate,Diabetes_Map_Symbol_State,Diabetes_State_Estimate
628,8059012027,"Census Tract 120.27, Jefferson County, Colorado",Jefferson,2776,21,6.3,95% C.I.: 6.1 - 6.6,Fourth Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
629,8059010405,"Census Tract 104.05, Jefferson County, Colorado",Jefferson,2187,21,4.6,95% C.I.: 4.4 - 4.8,Lowest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
630,8059012026,"Census Tract 120.26, Jefferson County, Colorado",Jefferson,2715,21,5.9,95% C.I.: 5.7 - 6.1,Middle Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
631,8059012035,"Census Tract 120.35, Jefferson County, Colorado",Jefferson,3808,21,5.5,95% C.I.: 5.3 - 5.7,Second Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
632,8059012037,"Census Tract 120.37, Jefferson County, Colorado",Jefferson,2956,21,5.6,95% C.I.: 5.4 - 5.8,Second Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
633,8059012031,"Census Tract 120.31, Jefferson County, Colorado",Jefferson,3394,21,5.4,95% C.I.: 5.2 - 5.6,Second Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
634,8059012030,"Census Tract 120.30, Jefferson County, Colorado",Jefferson,3155,21,5.7,95% C.I.: 5.5 - 5.9,Middle Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
635,8059009900,"Census Tract 99, Jefferson County, Colorado",Jefferson,2085,21,4.6,95% C.I.: 4.3 - 4.8,Lowest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
636,8059009846,"Census Tract 98.46, Jefferson County, Colorado",Jefferson,3407,21,7.1,95% C.I.: 6.8 - 7.3,Highest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
637,8059009847,"Census Tract 98.47, Jefferson County, Colorado",Jefferson,2376,21,6,95% C.I.: 5.8 - 6.2,Fourth Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
638,8059012023,"Census Tract 120.23, Jefferson County, Colorado",Jefferson,2624,21,6,95% C.I.: 5.7 - 6.2,Fourth Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
639,8059012048,"Census Tract 120.48, Jefferson County, Colorado",Jefferson,1861,21,7.7,95% C.I.: 7.5 - 8,Highest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Fourth Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
640,8059009848,"Census Tract 98.48, Jefferson County, Colorado",Jefferson,2023,21,8.1,95% C.I.: 7.8 - 8.4,Highest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Fourth Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
641,8059009845,"Census Tract 98.45, Jefferson County, Colorado",Jefferson,3311,21,6.8,95% C.I.: 6.6 - 7,Highest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
642,8059009842,"Census Tract 98.42, Jefferson County, Colorado",Jefferson,2678,21,5.8,95% C.I.: 5.6 - 6,Middle Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
643,8059012042,"Census Tract 120.42, Jefferson County, Colorado",Jefferson,3156,21,5.1,95% C.I.: 4.9 - 5.3,Second Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
644,8059012058,"Census Tract 120.58, Jefferson County, Colorado",Jefferson,3065,21,5.8,95% C.I.: 5.6 - 6,Middle Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
645,8059011720,"Census Tract 117.20, Jefferson County, Colorado",Jefferson,4042,21,6.4,95% C.I.: 6.1 - 6.7,Fourth Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
646,8059012054,"Census Tract 120.54, Jefferson County, Colorado",Jefferson,3188,21,5.8,95% C.I.: 5.6 - 6,Middle Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
647,8059011803,"Census Tract 118.03, Jefferson County, Colorado",Jefferson,4333,21,5.9,95% C.I.: 5.6 - 6.3,Middle Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
648,8059011602,"Census Tract 116.02, Jefferson County, Colorado",Jefferson,3377,21,6.2,95% C.I.: 5.9 - 6.5,Fourth Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
649,8059010603,"Census Tract 106.03, Jefferson County, Colorado",Jefferson,3067,21,5.5,95% C.I.: 5.2 - 5.7,Second Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
650,8059012039,"Census Tract 120.39, Jefferson County, Colorado",Jefferson,4183,21,4.7,95% C.I.: 4.5 - 4.9,Lowest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
651,8059010100,"Census Tract 101, Jefferson County, Colorado",Jefferson,3782,21,4,95% C.I.: 3.9 - 4.2,Lowest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
652,8059012036,"Census Tract 120.36, Jefferson County, Colorado",Jefferson,2887,21,5.6,95% C.I.: 5.4 - 5.8,Middle Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
653,8059012051,"Census Tract 120.51, Jefferson County, Colorado",Jefferson,2720,21,6.8,95% C.I.: 6.5 - 7,Highest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
654,8059012055,"Census Tract 120.55, Jefferson County, Colorado",Jefferson,2978,21,6.1,95% C.I.: 5.9 - 6.4,Fourth Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
655,8059012052,"Census Tract 120.52, Jefferson County, Colorado",Jefferson,4118,21,4.6,95% C.I.: 4.4 - 4.7,Lowest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
656,8059012046,"Census Tract 120.46, Jefferson County, Colorado",Jefferson,1608,21,5.6,95% C.I.: 5.4 - 5.9,Middle Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
657,8059012024,"Census Tract 120.24, Jefferson County, Colorado",Jefferson,3886,21,6,95% C.I.: 5.8 - 6.2,Fourth Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
658,8059012022,"Census Tract 120.22, Jefferson County, Colorado",Jefferson,4592,21,4.9,95% C.I.: 4.8 - 5.1,Lowest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
659,8059012045,"Census Tract 120.45, Jefferson County, Colorado",Jefferson,4540,21,5.2,95% C.I.: 5 - 5.4,Second Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
660,8059011904,"Census Tract 119.04, Jefferson County, Colorado",Jefferson,1856,21,6.6,95% C.I.: 6.3 - 6.9,Highest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
661,8059011728,"Census Tract 117.28, Jefferson County, Colorado",Jefferson,2271,21,6.9,95% C.I.: 6.7 - 7.2,Highest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
662,8059011702,"Census Tract 117.02, Jefferson County, Colorado",Jefferson,4595,21,7.3,95% C.I.: 6.9 - 7.6,Highest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Fourth Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
663,8059011701,"Census Tract 117.01, Jefferson County, Colorado",Jefferson,3842,21,6.3,95% C.I.: 6.1 - 6.5,Fourth Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
664,8059012049,"Census Tract 120.49, Jefferson County, Colorado",Jefferson,3046,21,5.8,95% C.I.: 5.6 - 6,Middle Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
665,8059011730,"Census Tract 117.30, Jefferson County, Colorado",Jefferson,2724,21,5.5,95% C.I.: 5.2 - 5.8,Second Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
666,8059011727,"Census Tract 117.27, Jefferson County, Colorado",Jefferson,2911,21,8,95% C.I.: 7.6 - 8.3,Highest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Fourth Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
667,8059012053,"Census Tract 120.53, Jefferson County, Colorado",Jefferson,3119,21,5.8,95% C.I.: 5.6 - 6.1,Middle Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
668,8059011202,"Census Tract 112.02, Jefferson County, Colorado",Jefferson,4036,21,4.9,95% C.I.: 4.7 - 5.1,Lowest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
669,8059011804,"Census Tract 118.04, Jefferson County, Colorado",Jefferson,3658,21,6.4,95% C.I.: 6.1 - 6.8,Fourth Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
670,8059011708,"Census Tract 117.08, Jefferson County, Colorado",Jefferson,3222,21,6.5,95% C.I.: 6.2 - 6.8,Highest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
671,8059980000,"Census Tract 9800, Jefferson County, Colorado",Jefferson,0,21,,,"No Estimate, Population < 50",County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),"No Estimate, Population < 50",State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
672,8059011711,"Census Tract 117.11, Jefferson County, Colorado",Jefferson,3434,21,5.2,95% C.I.: 5 - 5.4,Second Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
673,8059011951,"Census Tract 119.51, Jefferson County, Colorado",Jefferson,2680,21,7.2,95% C.I.: 6.8 - 7.5,Highest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
674,8059012038,"Census Tract 120.38, Jefferson County, Colorado",Jefferson,2787,21,5.3,95% C.I.: 5 - 5.5,Second Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
675,8059011725,"Census Tract 117.25, Jefferson County, Colorado",Jefferson,1405,21,6.3,95% C.I.: 6.1 - 6.6,Fourth Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
676,8059011721,"Census Tract 117.21, Jefferson County, Colorado",Jefferson,2172,21,6.3,95% C.I.: 6.1 - 6.6,Fourth Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
677,8059012034,"Census Tract 120.34, Jefferson County, Colorado",Jefferson,2911,21,6.6,95% C.I.: 6.4 - 6.8,Highest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
678,8059011710,"Census Tract 117.10, Jefferson County, Colorado",Jefferson,3213,21,5.8,95% C.I.: 5.6 - 6.1,Middle Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
679,8059011709,"Census Tract 117.09, Jefferson County, Colorado",Jefferson,2939,21,5.8,95% C.I.: 5.6 - 6.1,Middle Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
680,8059011726,"Census Tract 117.26, Jefferson County, Colorado",Jefferson,5120,21,6.5,95% C.I.: 6.3 - 6.8,Highest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
681,8059011601,"Census Tract 116.01, Jefferson County, Colorado",Jefferson,3020,21,6.3,95% C.I.: 6 - 6.6,Fourth Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
682,8059011731,"Census Tract 117.31, Jefferson County, Colorado",Jefferson,3312,21,4.4,95% C.I.: 4.3 - 4.7,Lowest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
683,8059011550,"Census Tract 115.50, Jefferson County, Colorado",Jefferson,4850,21,5.6,95% C.I.: 5.3 - 6,Middle Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
684,8059011300,"Census Tract 113, Jefferson County, Colorado",Jefferson,2536,21,6.2,95% C.I.: 5.9 - 6.6,Fourth Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
685,8059010702,"Census Tract 107.02, Jefferson County, Colorado",Jefferson,4537,21,5.1,95% C.I.: 4.8 - 5.4,Lowest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
686,8059010701,"Census Tract 107.01, Jefferson County, Colorado",Jefferson,3814,21,6.7,95% C.I.: 6.4 - 7,Highest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
687,8059012043,"Census Tract 120.43, Jefferson County, Colorado",Jefferson,4358,21,5.3,95% C.I.: 5.1 - 5.5,Second Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
688,8059010502,"Census Tract 105.02, Jefferson County, Colorado",Jefferson,4233,21,6.6,95% C.I.: 6.4 - 6.9,Highest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
689,8059010604,"Census Tract 106.04, Jefferson County, Colorado",Jefferson,1864,21,5.8,95% C.I.: 5.6 - 6.1,Middle Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
690,8059011000,"Census Tract 110, Jefferson County, Colorado",Jefferson,4723,21,6.1,95% C.I.: 5.9 - 6.4,Fourth Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
691,8059010902,"Census Tract 109.02, Jefferson County, Colorado",Jefferson,2133,21,4.6,95% C.I.: 4.4 - 4.9,Lowest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
692,8059010801,"Census Tract 108.01, Jefferson County, Colorado",Jefferson,2190,21,6.4,95% C.I.: 6.1 - 6.6,Fourth Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
693,8059010504,"Census Tract 105.04, Jefferson County, Colorado",Jefferson,2282,21,7.4,95% C.I.: 7.2 - 7.7,Highest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Fourth Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
694,8059010503,"Census Tract 105.03, Jefferson County, Colorado",Jefferson,3670,21,7,95% C.I.: 6.8 - 7.3,Highest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
695,8059010403,"Census Tract 104.03, Jefferson County, Colorado",Jefferson,4070,21,5,95% C.I.: 4.7 - 5.2,Lowest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
696,8059012044,"Census Tract 120.44, Jefferson County, Colorado",Jefferson,3158,21,4.9,95% C.I.: 4.7 - 5.2,Lowest Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
697,8059010308,"Census Tract 103.08, Jefferson County, Colorado",Jefferson,4641,21,6,95% C.I.: 5.7 - 6.2,Fourth Quintile,County/Regional Estimate 6% (95% C.I.: 5.2 - 6.7),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
698,8035014112,"Census Tract 141.12, Douglas County, Colorado",Douglas,3041,3,4.7,95% C.I.: 4.4 - 5,Middle Quintile,County/Regional Estimate 4.8% (95% C.I.: 3.8 - 5.8),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
699,8035014110,"Census Tract 141.10, Douglas County, Colorado",Douglas,4210,3,4.4,95% C.I.: 4.1 - 4.7,Second Quintile,County/Regional Estimate 4.8% (95% C.I.: 3.8 - 5.8),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
700,8035014109,"Census Tract 141.09, Douglas County, Colorado",Douglas,2328,3,6.2,95% C.I.: 5.9 - 6.6,Highest Quintile,County/Regional Estimate 4.8% (95% C.I.: 3.8 - 5.8),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
701,8035014108,"Census Tract 141.08, Douglas County, Colorado",Douglas,3567,3,4.7,95% C.I.: 4.5 - 5,Middle Quintile,County/Regional Estimate 4.8% (95% C.I.: 3.8 - 5.8),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
702,8035014202,"Census Tract 142.02, Douglas County, Colorado",Douglas,1487,3,5.5,95% C.I.: 5.2 - 5.8,Highest Quintile,County/Regional Estimate 4.8% (95% C.I.: 3.8 - 5.8),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
703,8035014116,"Census Tract 141.16, Douglas County, Colorado",Douglas,4737,3,3.4,95% C.I.: 3.2 - 3.7,Lowest Quintile,County/Regional Estimate 4.8% (95% C.I.: 3.8 - 5.8),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
704,8035014300,"Census Tract 143, Douglas County, Colorado",Douglas,698,3,6.6,95% C.I.: 6.3 - 6.9,Highest Quintile,County/Regional Estimate 4.8% (95% C.I.: 3.8 - 5.8),Middle Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
705,8035014107,"Census Tract 141.07, Douglas County, Colorado",Douglas,2774,3,5.1,95% C.I.: 4.8 - 5.4,Highest Quintile,County/Regional Estimate 4.8% (95% C.I.: 3.8 - 5.8),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
706,8035014122,"Census Tract 141.22, Douglas County, Colorado",Douglas,4962,3,5.1,95% C.I.: 4.8 - 5.4,Fourth Quintile,County/Regional Estimate 4.8% (95% C.I.: 3.8 - 5.8),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
707,8035014602,"Census Tract 146.02, Douglas County, Colorado",Douglas,2188,3,5.6,95% C.I.: 5.3 - 5.9,Highest Quintile,County/Regional Estimate 4.8% (95% C.I.: 3.8 - 5.8),Second Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
708,8035013901,"Census Tract 139.01, Douglas County, Colorado",Douglas,6007,3,4.9,95% C.I.: 4.7 - 5.3,Fourth Quintile,County/Regional Estimate 4.8% (95% C.I.: 3.8 - 5.8),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
709,8035014503,"Census Tract 145.03, Douglas County, Colorado",Douglas,4223,3,4.5,95% C.I.: 4.3 - 4.8,Second Quintile,County/Regional Estimate 4.8% (95% C.I.: 3.8 - 5.8),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
710,8035013909,"Census Tract 139.09, Douglas County, Colorado",Douglas,4640,3,4.7,95% C.I.: 4.4 - 5,Middle Quintile,County/Regional Estimate 4.8% (95% C.I.: 3.8 - 5.8),Lowest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
711,8101003600,"Census Tract 36, Pueblo County, Colorado",Pueblo,1555,7,12.8,95% C.I.: 12.1 - 13.6,Middle Quintile,County/Regional Estimate 12.2% (95% C.I.: 10.2 - 14.3),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
712,8101003500,"Census Tract 35, Pueblo County, Colorado",Pueblo,1697,7,15.2,95% C.I.: 14.3 - 16.3,Highest Quintile,County/Regional Estimate 12.2% (95% C.I.: 10.2 - 14.3),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
713,8101002916,"Census Tract 29.16, Pueblo County, Colorado",Pueblo,2357,7,10.6,95% C.I.: 10.1 - 11.3,Lowest Quintile,County/Regional Estimate 12.2% (95% C.I.: 10.2 - 14.3),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
714,8101002914,"Census Tract 29.14, Pueblo County, Colorado",Pueblo,2439,7,11,95% C.I.: 10.3 - 11.7,Lowest Quintile,County/Regional Estimate 12.2% (95% C.I.: 10.2 - 14.3),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
715,8063962200,"Census Tract 9622, Kit Carson County, Colorado",Kit Carson,1005,5,14.4,95% C.I.: 11.7 - 17.4,Highest Quintile,County/Regional Estimate 20.1% (95% C.I.: 6.1 - 34.2),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
716,8063962300,"Census Tract 9623, Kit Carson County, Colorado",Kit Carson,795,5,13.4,95% C.I.: 11.6 - 15.5,Highest Quintile,County/Regional Estimate 20.1% (95% C.I.: 6.1 - 34.2),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
717,8063962100,"Census Tract 9621, Kit Carson County, Colorado",Kit Carson,4254,5,20.3,95% C.I.: 16.6 - 23.5,Highest Quintile,County/Regional Estimate 20.1% (95% C.I.: 6.1 - 34.2),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
718,8101002912,"Census Tract 29.12, Pueblo County, Colorado",Pueblo,1413,7,10.8,95% C.I.: 10.2 - 11.5,Lowest Quintile,County/Regional Estimate 12.2% (95% C.I.: 10.2 - 14.3),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
719,8101980100,"Census Tract 9801, Pueblo County, Colorado",Pueblo,0,7,,,"No Estimate, Population < 50",County/Regional Estimate 12.2% (95% C.I.: 10.2 - 14.3),"No Estimate, Population < 50",State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
720,8101002917,"Census Tract 29.17, Pueblo County, Colorado",Pueblo,2326,7,9.8,95% C.I.: 9.3 - 10.3,Lowest Quintile,County/Regional Estimate 12.2% (95% C.I.: 10.2 - 14.3),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
721,8101003106,"Census Tract 31.06, Pueblo County, Colorado",Pueblo,1005,7,16.4,95% C.I.: 15.6 - 17.2,Highest Quintile,County/Regional Estimate 12.2% (95% C.I.: 10.2 - 14.3),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
722,8101003105,"Census Tract 31.05, Pueblo County, Colorado",Pueblo,2575,7,12.4,95% C.I.: 11.8 - 13.1,Middle Quintile,County/Regional Estimate 12.2% (95% C.I.: 10.2 - 14.3),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
723,8101002915,"Census Tract 29.15, Pueblo County, Colorado",Pueblo,1752,7,10.3,95% C.I.: 9.7 - 10.9,Lowest Quintile,County/Regional Estimate 12.2% (95% C.I.: 10.2 - 14.3),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
724,8101002918,"Census Tract 29.18, Pueblo County, Colorado",Pueblo,4846,7,10.4,95% C.I.: 9.9 - 11.1,Lowest Quintile,County/Regional Estimate 12.2% (95% C.I.: 10.2 - 14.3),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
725,8101002913,"Census Tract 29.13, Pueblo County, Colorado",Pueblo,2696,7,11.2,95% C.I.: 10.6 - 11.8,Lowest Quintile,County/Regional Estimate 12.2% (95% C.I.: 10.2 - 14.3),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
726,8101002911,"Census Tract 29.11, Pueblo County, Colorado",Pueblo,2035,7,12.3,95% C.I.: 11.7 - 12.9,Middle Quintile,County/Regional Estimate 12.2% (95% C.I.: 10.2 - 14.3),Highest Quintile,State Estimate 7.0% (95% C.I.: 6.8 - 7.3)
