OBJECTID,FIPS,Tract_Name,Tract_FIPS,County,Population_Total,Population_Density_PerLandSquareMile,Education_Population_AgeOver24,Percent_Education_Population_AgeOver24_LessThan9th,Percent_Education_Population_AgeOver24_NoHSDiploma,Percent_Education_Population_AgeOver24_HSD_Higher,Percent_Education_Population_AgeOver24_Bachelors_Higher
785,8035014139,"Census Tract 141.39, Douglas County, Colorado",8035014139,DOUGLAS,3924,2706.2,2751,3,4.5,95.5,57.7
786,8035014126,"Census Tract 141.26, Douglas County, Colorado",8035014126,DOUGLAS,1876,6948.1,1498,0,1.6,98.4,57.3
787,8035014203,"Census Tract 142.03, Douglas County, Colorado",8035014203,DOUGLAS,6704,923.4,4612,0.7,2.1,98,58.6
788,8035014406,"Census Tract 144.06, Douglas County, Colorado",8035014406,DOUGLAS,11516,798.6,6987,0.6,1.5,98.5,59.2
789,8035014133,"Census Tract 141.33, Douglas County, Colorado",8035014133,DOUGLAS,6578,4137.1,4059,1.1,3.9,96.2,60
790,8035014204,"Census Tract 142.04, Douglas County, Colorado",8035014204,DOUGLAS,3247,323.1,2279,1.7,5.1,94.9,41.7
791,8035014135,"Census Tract 141.35, Douglas County, Colorado",8035014135,DOUGLAS,3933,151.3,2357,0,0.2,99.8,73.9
792,8035014131,"Census Tract 141.31, Douglas County, Colorado",8035014131,DOUGLAS,4078,790.3,3168,0.9,3.3,96.7,57.8
793,8035014137,"Census Tract 141.37, Douglas County, Colorado",8035014137,DOUGLAS,9763,2208.8,5868,0.2,1.3,98.7,80.2
794,8035014127,"Census Tract 141.27, Douglas County, Colorado",8035014127,DOUGLAS,5367,2245.6,3495,0.3,1.6,98.4,67.5
795,8035014125,"Census Tract 141.25, Douglas County, Colorado",8035014125,DOUGLAS,3882,581.1,2748,0.3,0.3,99.7,75.5
796,8035014005,"Census Tract 140.05, Douglas County, Colorado",8035014005,DOUGLAS,5084,4621.8,3003,1.6,3.4,96.6,55.9
797,8035014007,"Census Tract 140.07, Douglas County, Colorado",8035014007,DOUGLAS,2964,788.3,2304,0.1,1,99,59.3
798,8035014011,"Census Tract 140.11, Douglas County, Colorado",8035014011,DOUGLAS,2724,233.6,1867,2.1,2.5,97.4,58.7
799,8035014506,"Census Tract 145.06, Douglas County, Colorado",8035014506,DOUGLAS,4496,58.3,3076,1.6,2.3,97.7,56.6
800,8035014604,"Census Tract 146.04, Douglas County, Colorado",8035014604,DOUGLAS,4122,163.8,2433,0,2,98,47.1
801,8035014013,"Census Tract 140.13, Douglas County, Colorado",8035014013,DOUGLAS,6703,419.5,3887,0.2,0.8,99.2,66.6
802,8035014012,"Census Tract 140.12, Douglas County, Colorado",8035014012,DOUGLAS,8027,424.5,5182,1.6,2,98,54.6
803,8035014008,"Census Tract 140.08, Douglas County, Colorado",8035014008,DOUGLAS,7294,3270.9,4700,1.9,1.9,98.1,66.1
804,8035014009,"Census Tract 140.09, Douglas County, Colorado",8035014009,DOUGLAS,3757,2664.5,2264,1,1,99,47.9
805,8035014010,"Census Tract 140.10, Douglas County, Colorado",8035014010,DOUGLAS,5630,3371.3,3592,0,1,99,49.7
806,8035013911,"Census Tract 139.11, Douglas County, Colorado",8035013911,DOUGLAS,7463,536.1,4444,0,0,100,62.8
807,8035014123,"Census Tract 141.23, Douglas County, Colorado",8035014123,DOUGLAS,3222,1471.2,2195,0,2.5,97.5,47.3
808,8035014504,"Census Tract 145.04, Douglas County, Colorado",8035014504,DOUGLAS,4723,1859.4,3171,1.8,6.3,93.7,27.4
809,8035013908,"Census Tract 139.08, Douglas County, Colorado",8035013908,DOUGLAS,7403,693.2,5330,0.4,0.6,99.4,56.9
810,8035013907,"Census Tract 139.07, Douglas County, Colorado",8035013907,DOUGLAS,5115,2079.3,3144,1,3.7,96.3,47.3
811,8035013905,"Census Tract 139.05, Douglas County, Colorado",8035013905,DOUGLAS,3666,2618.6,2363,0.4,1.9,98.1,48.3
812,8035013904,"Census Tract 139.04, Douglas County, Colorado",8035013904,DOUGLAS,4408,2139.8,2726,1.4,5,95,31.8
813,8035014001,"Census Tract 140.01, Douglas County, Colorado",8035014001,DOUGLAS,7679,1714.1,5045,0.4,2.3,97.7,51.6
814,8035014115,"Census Tract 141.15, Douglas County, Colorado",8035014115,DOUGLAS,4381,4381,3089,0,1,99,70.1
815,8035014114,"Census Tract 141.14, Douglas County, Colorado",8035014114,DOUGLAS,3321,2767.5,2345,0,1.7,98.3,46.8
816,8035014113,"Census Tract 141.13, Douglas County, Colorado",8035014113,DOUGLAS,3205,6540.8,1990,0.4,1.8,98.2,68.4
817,8009964600,"Census Tract 9646, Baca County, Colorado",8009964600,BACA,1577,0.8,1184,8.1,15.8,84.2,22.3
818,8009964700,"Census Tract 9647, Baca County, Colorado",8009964700,BACA,2004,3.9,1424,3.4,13.4,86.5,20.6
819,8019014700,"Census Tract 147, Clear Creek County, Colorado",8019014700,CLEAR CREEK,4935,26.4,3845,0,0.4,99.6,59.8
820,8019014800,"Census Tract 148, Clear Creek County, Colorado",8019014800,CLEAR CREEK,1819,312,1285,0.4,3.2,96.8,21.1
821,8119010202,"Census Tract 102.02, Teller County, Colorado",8119010202,TELLER,605,5,529,0.4,2.7,97.4,34.2
822,8119010201,"Census Tract 102.01, Teller County, Colorado",8119010201,TELLER,2463,23.8,1971,0.5,7.6,92.4,20.2
823,8119010105,"Census Tract 101.05, Teller County, Colorado",8119010105,TELLER,5653,30.6,4463,0.8,2.8,97.2,39.1
824,8119010104,"Census Tract 101.04, Teller County, Colorado",8119010104,TELLER,2075,412.5,1399,1,3.5,96.5,36.5
825,8119010103,"Census Tract 101.03, Teller County, Colorado",8119010103,TELLER,8023,598.3,5675,0,5.2,94.8,40.6
826,8119010106,"Census Tract 101.06, Teller County, Colorado",8119010106,TELLER,4950,38.4,3892,0.5,6.3,93.7,25.3
827,8061960100,"Census Tract 9601, Kiowa County, Colorado",8061960100,KIOWA,1368,0.8,911,0.9,4.6,95.4,21
828,8031006804,"Census Tract 68.04, Denver County, Colorado",8031006804,DENVER,2776,3119.1,2420,6.5,6.9,93.1,61.3
829,8031006701,"Census Tract 67.01, Denver County, Colorado",8031006701,DENVER,3384,8905.3,2615,0.4,0.4,99.6,73.2
830,8031006809,"Census Tract 68.09, Denver County, Colorado",8031006809,DENVER,7342,6440.4,5709,2,3,97,55.9
831,8031006812,"Census Tract 68.12, Denver County, Colorado",8031006812,DENVER,3833,4914.1,3168,0.4,1.2,98.8,57.2
832,8031004004,"Census Tract 40.04, Denver County, Colorado",8031004004,DENVER,1942,3530.9,1512,1.8,4.8,95.2,63.2
833,8031004003,"Census Tract 40.03, Denver County, Colorado",8031004003,DENVER,4335,4292.1,3629,6.9,10.1,89.9,54.2
834,8031006901,"Census Tract 69.01, Denver County, Colorado",8031006901,DENVER,5819,7557.1,4246,5.3,10,89.9,34.7
835,8031002901,"Census Tract 29.01, Denver County, Colorado",8031002901,DENVER,3310,8710.5,2785,1,1.5,98.5,69.6
836,8031002802,"Census Tract 28.02, Denver County, Colorado",8031002802,DENVER,4347,12785.3,3612,0.6,2.9,97.1,63.5
837,8031002801,"Census Tract 28.01, Denver County, Colorado",8031002801,DENVER,2791,9624.1,2415,1.5,2.3,97.7,74.1
838,8031002803,"Census Tract 28.03, Denver County, Colorado",8031002803,DENVER,4655,21159.1,4034,0,0.7,99.3,73.7
839,8031005503,"Census Tract 55.03, Denver County, Colorado",8031005503,DENVER,4826,6187.2,3466,3.4,8.4,91.6,31.5
840,8031005502,"Census Tract 55.02, Denver County, Colorado",8031005502,DENVER,2111,1868.1,1448,4.8,15.2,84.8,28
841,8031007013,"Census Tract 70.13, Denver County, Colorado",8031007013,DENVER,3799,7753.1,2991,1.5,4.6,95.5,54.2
842,8031005002,"Census Tract 50.02, Denver County, Colorado",8031005002,DENVER,7408,9034.1,5151,4.7,8.7,91.3,40.4
843,8031005001,"Census Tract 50.01, Denver County, Colorado",8031005001,DENVER,2704,4506.7,2087,3.3,7.5,92.6,47.9
844,8031005102,"Census Tract 51.02, Denver County, Colorado",8031005102,DENVER,4019,6379.4,2871,2.9,5.2,94.9,53
845,8031005300,"Census Tract 53, Denver County, Colorado",8031005300,DENVER,1371,3188.4,1116,2.2,6.6,93.5,47.6
846,8031004801,"Census Tract 48.01, Denver County, Colorado",8031004801,DENVER,3677,6809.3,2311,5.5,14.2,85.8,27
847,8031001402,"Census Tract 14.02, Denver County, Colorado",8031001402,DENVER,4941,7601.5,2914,25.4,44.3,55.6,10.5
848,8031001401,"Census Tract 14.01, Denver County, Colorado",8031001401,DENVER,6461,7976.5,4206,19,36.9,63.1,11.9
849,8031001302,"Census Tract 13.02, Denver County, Colorado",8031001302,DENVER,4295,5368.8,2736,9.8,26.5,73.6,11.7
850,8031001301,"Census Tract 13.01, Denver County, Colorado",8031001301,DENVER,5451,7677.5,3754,15,34.1,65.9,19.2
851,8031005104,"Census Tract 51.04, Denver County, Colorado",8031005104,DENVER,3731,12865.5,2743,6.3,10.1,89.9,44
852,8031004303,"Census Tract 43.03, Denver County, Colorado",8031004303,DENVER,4020,4187.5,2781,0.7,1.4,98.6,89
853,8031004002,"Census Tract 40.02, Denver County, Colorado",8031004002,DENVER,3529,3835.9,2538,1.3,2.3,97.6,70.4
854,8031004005,"Census Tract 40.05, Denver County, Colorado",8031004005,DENVER,3279,7997.6,2179,0.6,3.8,96.3,60.4
855,8031003902,"Census Tract 39.02, Denver County, Colorado",8031003902,DENVER,4749,5653.6,3356,0,0.5,99.5,77.7
856,8031003004,"Census Tract 30.04, Denver County, Colorado",8031003004,DENVER,6190,7457.8,3506,0.7,1.7,98.2,72.4
857,8031004603,"Census Tract 46.03, Denver County, Colorado",8031004603,DENVER,5936,8244.4,3844,11.7,27.9,72.2,20.1
858,8031004601,"Census Tract 46.01, Denver County, Colorado",8031004601,DENVER,5638,7418.4,3648,8.1,23.3,76.6,16.7
859,8031000903,"Census Tract 9.03, Denver County, Colorado",8031000903,DENVER,6453,8490.8,3722,19,35.7,64.3,10.7
860,8031006810,"Census Tract 68.10, Denver County, Colorado",8031006810,DENVER,5485,6377.9,4116,4.5,6.5,93.5,43.1
861,8031012001,"Census Tract 120.01, Denver County, Colorado",8031012001,DENVER,2114,2710.3,1653,3,5.2,94.7,44
862,8031012010,"Census Tract 120.10, Denver County, Colorado",8031012010,DENVER,5245,4600.9,4068,1.9,4.6,95.4,45
863,8031012014,"Census Tract 120.14, Denver County, Colorado",8031012014,DENVER,6414,6478.8,4925,0.7,4.2,95.7,36.4
864,8031004700,"Census Tract 47, Denver County, Colorado",8031004700,DENVER,7237,7698.9,4366,9.7,22,78.1,25.2
865,8031001000,"Census Tract 10, Denver County, Colorado",8031001000,DENVER,4238,4414.6,2622,18.3,38.2,61.8,15.8
866,8031011903,"Census Tract 119.03, Denver County, Colorado",8031011903,DENVER,2460,5857.1,1849,2.7,5.8,94.2,35
867,8031004404,"Census Tract 44.04, Denver County, Colorado",8031004404,DENVER,6526,13052,4072,11.3,21.1,78.9,28.1
868,8031004403,"Census Tract 44.03, Denver County, Colorado",8031004403,DENVER,4533,7952.6,3260,5.7,11,89,36.3
869,8031004304,"Census Tract 43.04, Denver County, Colorado",8031004304,DENVER,5896,5837.6,4569,1.2,4.2,95.9,72.6
870,8031004302,"Census Tract 43.02, Denver County, Colorado",8031004302,DENVER,2409,5602.3,1964,0.9,2.8,97.3,64
871,8031004202,"Census Tract 42.02, Denver County, Colorado",8031004202,DENVER,4625,6166.7,3177,4.3,5.7,94.3,66.9
872,8031004104,"Census Tract 41.04, Denver County, Colorado",8031004104,DENVER,4866,6402.6,3804,11.3,14.6,85.4,49.3
873,8031004301,"Census Tract 43.01, Denver County, Colorado",8031004301,DENVER,4651,8456.4,3945,0.2,4,96,58
874,8031004201,"Census Tract 42.01, Denver County, Colorado",8031004201,DENVER,4866,6575.7,3508,1.8,3.5,96.5,76.2
875,8031003703,"Census Tract 37.03, Denver County, Colorado",8031003703,DENVER,3177,12219.2,2487,1.1,2.5,97.5,72.5
876,8031003300,"Census Tract 33, Denver County, Colorado",8031003300,DENVER,3505,7010,2739,0,0.4,99.6,77
877,8031004103,"Census Tract 41.03, Denver County, Colorado",8031004103,DENVER,5485,7412.2,3966,1.6,8.3,91.7,59.7
878,8031003003,"Census Tract 30.03, Denver County, Colorado",8031003003,DENVER,3386,8061.9,1632,1,1,99,69.7
879,8031004102,"Census Tract 41.02, Denver County, Colorado",8031004102,DENVER,5066,3311.1,3285,6.2,20.2,79.7,20.9
880,8031004101,"Census Tract 41.01, Denver County, Colorado",8031004101,DENVER,4603,2543.1,3027,10.1,14.2,85.8,29
881,8031003702,"Census Tract 37.02, Denver County, Colorado",8031003702,DENVER,4877,18063,4178,0.3,2.4,97.6,69.9
882,8031003203,"Census Tract 32.03, Denver County, Colorado",8031003203,DENVER,3170,4876.9,2308,0,0.8,99.2,86.4
883,8031003202,"Census Tract 32.02, Denver County, Colorado",8031003202,DENVER,3328,16640,3068,0,1.4,98.6,68.1
884,8031003901,"Census Tract 39.01, Denver County, Colorado",8031003901,DENVER,4275,3685.3,3522,0,1.6,98.4,76.6
885,8031003800,"Census Tract 38, Denver County, Colorado",8031003800,DENVER,7140,8500,6066,1.8,3.6,96.4,69.7
886,8031003402,"Census Tract 34.02, Denver County, Colorado",8031003402,DENVER,4716,4449.1,3574,0.7,1.4,98.6,76.7
887,8031003401,"Census Tract 34.01, Denver County, Colorado",8031003401,DENVER,2684,6100,2302,0.4,2.1,97.9,78.4
888,8031002902,"Census Tract 29.02, Denver County, Colorado",8031002902,DENVER,4387,8953.1,3592,0.4,1.5,98.5,77.8
889,8031003701,"Census Tract 37.01, Denver County, Colorado",8031003701,DENVER,3375,4687.5,2915,0.8,2.8,97.2,64.4
890,8031003201,"Census Tract 32.01, Denver County, Colorado",8031003201,DENVER,5567,16869.7,4908,0,1.8,98.2,65.8
891,8031002703,"Census Tract 27.03, Denver County, Colorado",8031002703,DENVER,5219,26095,4305,0.5,1.5,98.5,63.3
892,8031003102,"Census Tract 31.02, Denver County, Colorado",8031003102,DENVER,3428,10387.9,2900,2.8,10.6,89.4,57.9
