OBJECTID,FIPS,Tract_Name,Tract_FIPS,County,Population_Total,Population_Density_PerLandSquareMile,Percent_Poverty_AllPeople_Income_Below_Pov_Level,Poverty_Median_Household_Income,Poverty_Mean_Household_Income,Poverty_Per_Capita_Income
925,08031000201,"Census Tract 2.01, Denver County, Colorado",08031000201,DENVER,3881,4791.4,9.7,52031,68907,29734
926,08031004405,"Census Tract 44.05, Denver County, Colorado",08031004405,DENVER,8593,3719.9,7.7,82048,121534,56851
927,08031004106,"Census Tract 41.06, Denver County, Colorado",08031004106,DENVER,12640,2253.1,2.6,142083,164198,47457
928,08031015600,"Census Tract 156, Denver County, Colorado",08031015600,DENVER,8536,5927.8,38.4,34565,51820,15907
929,08031015400,"Census Tract 154, Denver County, Colorado",08031015400,DENVER,4605,4470.9,16.9,68342,79858,30226
930,08031008390,"Census Tract 83.90, Denver County, Colorado",08031008390,DENVER,9485,11158.8,13.8,64545,69158,21564
931,08031008391,"Census Tract 83.91, Denver County, Colorado",08031008391,DENVER,6898,7928.7,6,67768,73301,25356
932,08031000301,"Census Tract 3.01, Denver County, Colorado",08031000301,DENVER,5742,7759.5,6.9,69929,94694,46394
933,08031001901,"Census Tract 19.01, Denver County, Colorado",08031001901,DENVER,2787,3096.7,46,26224,41456,16706
934,08031000905,"Census Tract 9.05, Denver County, Colorado",08031000905,DENVER,4221,8276.5,14,55101,62770,20809
935,08031000702,"Census Tract 7.02, Denver County, Colorado",08031000702,DENVER,5128,9496.3,45,25091,48545,19698
936,08031008389,"Census Tract 83.89, Denver County, Colorado",08031008389,DENVER,10589,4769.8,5,80917,89841,27563
937,08031008386,"Census Tract 83.86, Denver County, Colorado",08031008386,DENVER,5259,10518,12.9,59832,69176,17445
938,08031015300,"Census Tract 153, Denver County, Colorado",08031015300,DENVER,3770,8568.2,12.5,49333,63185,39794
939,08031004306,"Census Tract 43.06, Denver County, Colorado",08031004306,DENVER,5490,5545.5,4.6,102808,177921,77641
940,08031004107,"Census Tract 41.07, Denver County, Colorado",08031004107,DENVER,9123,2772.9,4,112039,137294,55978
941,08031008388,"Census Tract 83.88, Denver County, Colorado",08031008388,DENVER,9583,2860.6,3.2,60824,72984,23951
942,08031001102,"Census Tract 11.02, Denver County, Colorado",08031001102,DENVER,3827,7503.9,8.6,78526,106821,52445
943,08031000600,"Census Tract 6, Denver County, Colorado",08031000600,DENVER,3248,6628.6,23.4,50682,90112,49988
944,08031004602,"Census Tract 46.02, Denver County, Colorado",08031004602,DENVER,7480,10108.1,19.3,48731,55274,17619
945,08031001702,"Census Tract 17.02, Denver County, Colorado",08031001702,DENVER,4107,9551.2,17.5,64709,106623,66464
946,08031008387,"Census Tract 83.87, Denver County, Colorado",08031008387,DENVER,7446,11113.4,21.9,63383,72714,17459
947,08031008312,"Census Tract 83.12, Denver County, Colorado",08031008312,DENVER,8139,8390.7,23.8,55366,64022,19105
948,08031015700,"Census Tract 157, Denver County, Colorado",08031015700,DENVER,5901,7285.2,20.2,43659,64046,24971
949,08031001902,"Census Tract 19.02, Denver County, Colorado",08031001902,DENVER,798,1227.7,12.9,,144513,9992
950,08031004506,"Census Tract 45.06, Denver County, Colorado",08031004506,DENVER,4020,10864.9,31.7,35355,43552,12464
951,08031011902,"Census Tract 119.02, Denver County, Colorado",08031011902,DENVER,6415,6752.6,12.3,60716,69329,31035
952,08031005200,"Census Tract 52, Denver County, Colorado",08031005200,DENVER,3458,4269.1,11.7,91637,110813,45477
953,08031002100,"Census Tract 21, Denver County, Colorado",08031002100,DENVER,6136,4118.1,16.8,67996,84298,41564
954,08031000902,"Census Tract 9.02, Denver County, Colorado",08031000902,DENVER,6248,8677.8,18.8,55871,62654,20076
955,08031000904,"Census Tract 9.04, Denver County, Colorado",08031000904,DENVER,5179,10789.6,35.2,25039,40336,15559
956,08031008305,"Census Tract 83.05, Denver County, Colorado",08031008305,DENVER,4652,11630,19.3,52500,63108,15484
957,08031008304,"Census Tract 83.04, Denver County, Colorado",08031008304,DENVER,3850,10694.4,22.7,48468,62455,17014
958,08031007006,"Census Tract 70.06, Denver County, Colorado",08031007006,DENVER,4836,6908.6,17.8,36464,45432,23575
959,08031004505,"Census Tract 45.05, Denver County, Colorado",08031004505,DENVER,4747,12171.8,41.7,24891,50996,14947
960,08031004504,"Census Tract 45.04, Denver County, Colorado",08031004504,DENVER,4393,12551.4,28.8,41800,57698,16562
961,08031004503,"Census Tract 45.03, Denver County, Colorado",08031004503,DENVER,4232,10851.3,24,38493,44485,14742
962,08031004006,"Census Tract 40.06, Denver County, Colorado",08031004006,DENVER,4820,6426.7,12.6,87647,174397,73524
963,08031003001,"Census Tract 30.01, Denver County, Colorado",08031003001,DENVER,5722,6978,7.2,101227,124508,59558
964,08031001403,"Census Tract 14.03, Denver County, Colorado",08031001403,DENVER,3458,3087.5,21,54981,67348,33456
965,08031006813,"Census Tract 68.13, Denver County, Colorado",08031006813,DENVER,4267,10159.5,15.8,46473,57211,33455
966,08031006814,"Census Tract 68.14, Denver County, Colorado",08031006814,DENVER,4955,6117.3,11.7,52150,69891,29498
967,08031006811,"Census Tract 68.11, Denver County, Colorado",08031006811,DENVER,6345,7553.6,9.1,58826,81757,40793
968,08031007037,"Census Tract 70.37, Denver County, Colorado",08031007037,DENVER,4503,11257.5,35.2,37141,48495,21051
969,08031007088,"Census Tract 70.88, Denver County, Colorado",08031007088,DENVER,4904,5162.1,11.4,63878,72806,37424
970,08031007089,"Census Tract 70.89, Denver County, Colorado",08031007089,DENVER,5102,13426.3,8,30777,39989,29408
971,08005081800,"Census Tract 818, Arapahoe County, Colorado",08005081800,ARAPAHOE,5629,6864.6,20.6,47656,57075,17097
972,08005007500,"Census Tract 75, Arapahoe County, Colorado",08005007500,ARAPAHOE,2468,7478.8,19,55764,62110,20759
973,08005082300,"Census Tract 823, Arapahoe County, Colorado",08005082300,ARAPAHOE,3958,8245.8,21.7,60363,61643,22535
974,08005081600,"Census Tract 816, Arapahoe County, Colorado",08005081600,ARAPAHOE,4969,4106.6,7.4,67462,70159,27669
975,08005080700,"Census Tract 807, Arapahoe County, Colorado",08005080700,ARAPAHOE,5693,5809.2,8.3,62588,68104,24798
976,08005006808,"Census Tract 68.08, Arapahoe County, Colorado",08005006808,ARAPAHOE,5966,3977.3,0.9,161250,200810,63934
977,08005084600,"Census Tract 846, Arapahoe County, Colorado",08005084600,ARAPAHOE,5466,6832.5,5.6,65699,81537,30532
978,08005006711,"Census Tract 67.11, Arapahoe County, Colorado",08005006711,ARAPAHOE,4017,4017,1.9,116111,128252,45827
979,08005006815,"Census Tract 68.15, Arapahoe County, Colorado",08005006815,ARAPAHOE,4632,3765.9,7.9,69087,103078,41415
980,08005082600,"Census Tract 826, Arapahoe County, Colorado",08005082600,ARAPAHOE,5182,5182,6.2,52281,65479,28666
981,08005080200,"Census Tract 802, Arapahoe County, Colorado",08005080200,ARAPAHOE,6168,6168,8.6,78086,91794,31920
982,08041003801,"Census Tract 38.01, El Paso County, Colorado",08041003801,EL PASO,1997,196.7,4.1,70179,75975,22202
983,08041005111,"Census Tract 51.11, El Paso County, Colorado",08041005111,EL PASO,8105,3667.4,6,64741,82567,26797
984,08041007101,"Census Tract 71.01, El Paso County, Colorado",08041007101,EL PASO,8451,1380.9,4.8,124464,127208,38905
985,08041007201,"Census Tract 72.01, El Paso County, Colorado",08041007201,EL PASO,9567,1434.3,9.8,116979,126410,43656
986,08041006901,"Census Tract 69.01, El Paso County, Colorado",08041006901,EL PASO,5337,6278.8,7,93510,99587,32723
987,08041006301,"Census Tract 63.01, El Paso County, Colorado",08041006301,EL PASO,4988,4988,15.3,55012,62354,20743
988,08041006302,"Census Tract 63.02, El Paso County, Colorado",08041006302,EL PASO,5605,8492.4,27.9,36591,46258,18623
989,08041005110,"Census Tract 51.10, El Paso County, Colorado",08041005110,EL PASO,4458,5715.4,5.9,60351,73116,27088
990,08041006801,"Census Tract 68.01, El Paso County, Colorado",08041006801,EL PASO,4198,5673,14,62306,68076,29019
991,08041006802,"Census Tract 68.02, El Paso County, Colorado",08041006802,EL PASO,3988,4923.5,9.1,66860,85070,29613
992,08041004601,"Census Tract 46.01, El Paso County, Colorado",08041004601,EL PASO,3769,52.6,7.9,63241,66359,28527
993,08041004511,"Census Tract 45.11, El Paso County, Colorado",08041004511,EL PASO,7297,113,12.7,60498,67208,23777
994,08041004602,"Census Tract 46.02, El Paso County, Colorado",08041004602,EL PASO,4151,6,11.5,55000,69763,25652
995,08041007601,"Census Tract 76.01, El Paso County, Colorado",08041007601,EL PASO,7585,389.4,1,98362,117323,40444
996,08041007602,"Census Tract 76.02, El Paso County, Colorado",08041007602,EL PASO,3482,136,5.7,105500,115435,44125
997,08041007202,"Census Tract 72.02, El Paso County, Colorado",08041007202,EL PASO,9296,1611.1,3.3,114317,120102,42524
998,08041003802,"Census Tract 38.02, El Paso County, Colorado",08041003802,EL PASO,4101,218.8,,,,11251
999,08041003307,"Census Tract 33.07, El Paso County, Colorado",08041003307,EL PASO,3351,3942.4,3.2,67721,83377,35722
1000,08041003400,"Census Tract 34, El Paso County, Colorado",08041003400,EL PASO,3517,45.3,8.5,69034,102921,46883
1001,08041006700,"Census Tract 67, El Paso County, Colorado",08041006700,EL PASO,5718,991,9.3,62604,83806,41040
1002,08041003701,"Census Tract 37.01, El Paso County, Colorado",08041003701,EL PASO,8038,75.1,8.5,80106,94346,35571
1003,08041004100,"Census Tract 41, El Paso County, Colorado",08041004100,EL PASO,4997,5205.2,12.9,55058,65153,24617
1004,08041004200,"Census Tract 42, El Paso County, Colorado",08041004200,EL PASO,3965,5286.7,9.2,53641,69142,26640
1005,08041004508,"Census Tract 45.08, El Paso County, Colorado",08041004508,EL PASO,7054,1901.3,10,47143,57675,21369
1006,08041004507,"Census Tract 45.07, El Paso County, Colorado",08041004507,EL PASO,3327,3824.1,3.7,63553,76040,25709
1007,08041004506,"Census Tract 45.06, El Paso County, Colorado",08041004506,EL PASO,4998,4805.8,10.5,56466,60703,19708
1008,08041004300,"Census Tract 43, El Paso County, Colorado",08041004300,EL PASO,6906,2807.3,14.5,62191,72219,23849
1009,08041005000,"Census Tract 50, El Paso County, Colorado",08041005000,EL PASO,5413,2879.3,14,50395,60269,22567
1010,08041006200,"Census Tract 62, El Paso County, Colorado",08041006200,EL PASO,5468,3933.8,31.1,36861,52480,20060
1011,08041006100,"Census Tract 61, El Paso County, Colorado",08041006100,EL PASO,4184,8046.2,33,36707,45219,16989
1012,08041006000,"Census Tract 60, El Paso County, Colorado",08041006000,EL PASO,6682,4367.3,21.6,39963,50960,21423
1013,08041005900,"Census Tract 59, El Paso County, Colorado",08041005900,EL PASO,6838,2814,12.6,57692,69485,29258
1014,08041005800,"Census Tract 58, El Paso County, Colorado",08041005800,EL PASO,3084,5507.1,5.8,68897,76875,31159
1015,08041005700,"Census Tract 57, El Paso County, Colorado",08041005700,EL PASO,6167,5096.7,10.2,57569,63444,26476
1016,08041005602,"Census Tract 56.02, El Paso County, Colorado",08041005602,EL PASO,3183,5683.9,3.5,65734,77171,32570
1017,08041004703,"Census Tract 47.03, El Paso County, Colorado",08041004703,EL PASO,6008,6750.6,2.4,74639,98229,37324
1018,08041004009,"Census Tract 40.09, El Paso County, Colorado",08041004009,EL PASO,1877,10427.8,23.9,39539,47493,17741
1019,08041005202,"Census Tract 52.02, El Paso County, Colorado",08041005202,EL PASO,2710,6948.7,29.3,34531,45772,23589
1020,08041003905,"Census Tract 39.05, El Paso County, Colorado",08041003905,EL PASO,3600,1690.1,12.2,59590,72551,32076
1021,08041003706,"Census Tract 37.06, El Paso County, Colorado",08041003706,EL PASO,4491,4236.8,12.6,92212,103487,41771
1022,08041003705,"Census Tract 37.05, El Paso County, Colorado",08041003705,EL PASO,5718,1374.5,11.9,88275,123785,50469
1023,08041003000,"Census Tract 30, El Paso County, Colorado",08041003000,EL PASO,4450,3503.9,15.7,44836,65902,33947
1024,08041003303,"Census Tract 33.03, El Paso County, Colorado",08041003303,EL PASO,5819,2866.5,24,41442,48765,21520
1025,08041004503,"Census Tract 45.03, El Paso County, Colorado",08041004503,EL PASO,14728,1881,3.4,69167,76210,24535
1026,08041002900,"Census Tract 29, El Paso County, Colorado",08041002900,EL PASO,5755,4918.8,39.9,30541,38008,16518
1027,08041002000,"Census Tract 20, El Paso County, Colorado",08041002000,EL PASO,6999,5262.4,29.3,32038,46325,19143
1028,08041004502,"Census Tract 45.02, El Paso County, Colorado",08041004502,EL PASO,6000,1432,5.1,69487,76030,26038
1029,08041001900,"Census Tract 19, El Paso County, Colorado",08041001900,EL PASO,4654,7051.5,22.4,28913,42782,21454
1030,08041001800,"Census Tract 18, El Paso County, Colorado",08041001800,EL PASO,1952,3983.7,8.8,67340,80258,39477
1031,08041001700,"Census Tract 17, El Paso County, Colorado",08041001700,EL PASO,1922,6406.7,16.8,42436,63520,31197
1032,08041001600,"Census Tract 16, El Paso County, Colorado",08041001600,EL PASO,3496,5731.1,29,40771,60503,25484
1033,08041001500,"Census Tract 15, El Paso County, Colorado",08041001500,EL PASO,2083,3063.2,19.7,36797,46582,23259
1034,08041003906,"Census Tract 39.06, El Paso County, Colorado",08041003906,EL PASO,6493,3399.5,5.5,77227,89912,35034
1035,08041001101,"Census Tract 11.01, El Paso County, Colorado",08041001101,EL PASO,1483,3026.5,13.8,37148,45687,24632
1036,08041001000,"Census Tract 10, El Paso County, Colorado",08041001000,EL PASO,2453,3227.6,7.5,87917,165882,71123
1037,08041000900,"Census Tract 9, El Paso County, Colorado",08041000900,EL PASO,2229,5436.6,12.3,67674,85456,42179
1038,08041005109,"Census Tract 51.09, El Paso County, Colorado",08041005109,EL PASO,7553,4267.2,6.4,84392,93232,34710
1039,08041005105,"Census Tract 51.05, El Paso County, Colorado",08041005105,EL PASO,7448,6650,7.8,88093,98147,31334
1040,08041005107,"Census Tract 51.07, El Paso County, Colorado",08041005107,EL PASO,8880,4988.8,5.9,87020,102433,34475
1041,08041007102,"Census Tract 71.02, El Paso County, Colorado",08041007102,EL PASO,9284,3363.8,1,130875,147722,46592
1042,08041004705,"Census Tract 47.05, El Paso County, Colorado",08041004705,EL PASO,8124,6943.6,4.2,84037,88858,33545
1043,08041005106,"Census Tract 51.06, El Paso County, Colorado",08041005106,EL PASO,10100,4316.2,5.1,69894,81343,30024
1044,08041004706,"Census Tract 47.06, El Paso County, Colorado",08041004706,EL PASO,5143,3174.7,4.8,98893,101570,36266
1045,08041006902,"Census Tract 69.02, El Paso County, Colorado",08041006902,EL PASO,5099,5311.5,5,79619,93879,33122
1046,08041004603,"Census Tract 46.03, El Paso County, Colorado",08041004603,EL PASO,6758,46.2,3.4,69244,77533,25810
1047,08041004510,"Census Tract 45.10, El Paso County, Colorado",08041004510,EL PASO,9617,1726.6,2.4,82622,86319,27469
1048,08041005108,"Census Tract 51.08, El Paso County, Colorado",08041005108,EL PASO,9192,3767.2,3,86375,94981,32338
1049,08041003308,"Census Tract 33.08, El Paso County, Colorado",08041003308,EL PASO,5706,8778.5,4.9,47894,63129,28884
1050,08041003305,"Census Tract 33.05, El Paso County, Colorado",08041003305,EL PASO,6950,1349.5,4.6,107679,136838,56932
1051,08041004401,"Census Tract 44.01, El Paso County, Colorado",08041004401,EL PASO,9335,3153.7,20,45940,46159,13263
1052,08041004403,"Census Tract 44.03, El Paso County, Colorado",08041004403,EL PASO,1344,10.9,5,49500,56972,14677
1053,08041004402,"Census Tract 44.02, El Paso County, Colorado",08041004402,EL PASO,5680,913.2,2.7,107813,111128,23744
1054,08041003306,"Census Tract 33.06, El Paso County, Colorado",08041003306,EL PASO,3309,50.8,6.8,71462,103506,36448
1055,08041005104,"Census Tract 51.04, El Paso County, Colorado",08041005104,EL PASO,9055,177.7,5.9,89253,92802,30858
1056,08041005502,"Census Tract 55.02, El Paso County, Colorado",08041005502,EL PASO,4654,6554.9,18.4,36002,46994,19644
1057,08041004702,"Census Tract 47.02, El Paso County, Colorado",08041004702,EL PASO,2342,6005.1,5.7,68259,74351,26518
1058,08041000101,"Census Tract 1.01, El Paso County, Colorado",08041000101,EL PASO,6094,2308.3,14.5,41163,63723,30978
1059,08041008000,"Census Tract 80, El Paso County, Colorado",08041008000,EL PASO,4230,3916.7,13.2,47957,61589,28109
1060,08041003709,"Census Tract 37.09, El Paso County, Colorado",08041003709,EL PASO,6305,1976.5,8.3,70897,89434,38666
1061,08041007400,"Census Tract 74, El Paso County, Colorado",08041007400,EL PASO,8843,738.1,1.9,160599,166616,55856
1062,08041003707,"Census Tract 37.07, El Paso County, Colorado",08041003707,EL PASO,3854,1227.4,2.2,100000,114919,43608
1063,08041003708,"Census Tract 37.08, El Paso County, Colorado",08041003708,EL PASO,2754,2257.4,7.1,85938,94366,41623
1064,08041006502,"Census Tract 65.02, El Paso County, Colorado",08041006502,EL PASO,7035,6965.3,14.8,51559,56965,20105
1065,08041006600,"Census Tract 66, El Paso County, Colorado",08041006600,EL PASO,2436,2511.3,14.2,54965,79051,38839
1066,08041006501,"Census Tract 65.01, El Paso County, Colorado",08041006501,EL PASO,3868,6139.7,19.1,48906,58203,17742
1067,08041006400,"Census Tract 64, El Paso County, Colorado",08041006400,EL PASO,7387,5862.7,21.4,44063,55827,20331
