OBJECTID,FIPS,Tract_Name,Tract_FIPS,County,Population_Total,Population_Density_PerLandSquareMile,Percent_Poverty_AllPeople_Income_Below_Pov_Level,Poverty_Median_Household_Income,Poverty_Mean_Household_Income,Poverty_Per_Capita_Income
1,08043979000,"Census Tract 9790, Fremont County, Colorado",08043979000,FREMONT,3471,3.4,9.7,49483,61677,29749
2,08045951600,"Census Tract 9516, Garfield County, Colorado",08045951600,GARFIELD,3656,6.4,14.5,59154,82512,32362
3,08069002803,"Census Tract 28.03, Larimer County, Colorado",08069002803,LARIMER,97,0.4,38.1,43882,41385,27278
4,08125963200,"Census Tract 9632, Yuma County, Colorado",08125963200,YUMA,5467,5.3,13.4,44315,53229,24196
5,08069002401,"Census Tract 24.01, Larimer County, Colorado",08069002401,LARIMER,1310,3.3,10.2,61111,83656,39123
6,08069002402,"Census Tract 24.02, Larimer County, Colorado",08069002402,LARIMER,2712,2.9,11.2,52176,82822,40529
7,08103951200,"Census Tract 9512, Rio Blanco County, Colorado",08103951200,RIO BLANCO,2625,2.1,8.4,73500,81868,30250
8,08103951100,"Census Tract 9511, Rio Blanco County, Colorado",08103951100,RIO BLANCO,3932,2,13.8,52113,66206,26805
9,08049000201,"Census Tract 2.01, Grand County, Colorado",08049000201,GRAND,4908,9.9,4.4,73337,82425,38702
10,08049000202,"Census Tract 2.02, Grand County, Colorado",08049000202,GRAND,6907,27.3,14.3,66926,77079,31839
11,08049000100,"Census Tract 1, Grand County, Colorado",08049000100,GRAND,2978,2.7,24.8,53452,64425,25892
12,08081000600,"Census Tract 6, Moffat County, Colorado",08081000600,MOFFAT,1321,0.3,11.1,49286,59198,23173
13,08081000500,"Census Tract 5, Moffat County, Colorado",08081000500,MOFFAT,4319,1145.6,8.5,48341,60313,24481
14,08081000400,"Census Tract 4, Moffat County, Colorado",08081000400,MOFFAT,4548,1618.5,14,51641,64357,26994
15,08081000300,"Census Tract 3, Moffat County, Colorado",08081000300,MOFFAT,2868,18.5,6.2,71250,88907,34075
16,08057955600,"Census Tract 9556, Jackson County, Colorado",08057955600,JACKSON,1372,0.9,12.8,45994,55802,24299
17,08121924100,"Census Tract 9241, Washington County, Colorado",08121924100,WASHINGTON,1939,1.1,8.8,48882,71014,29978
18,08107000800,"Census Tract 8, Routt County, Colorado",08107000800,ROUTT,2059,3.6,14.4,55809,71318,30407
19,08107000700,"Census Tract 7, Routt County, Colorado",08107000700,ROUTT,5070,86.6,13.1,60918,84203,40306
20,08107000500,"Census Tract 5, Routt County, Colorado",08107000500,ROUTT,4144,97.3,8.7,76075,97552,40916
21,08107000200,"Census Tract 2, Routt County, Colorado",08107000200,ROUTT,1996,160.7,10.7,55208,69556,27622
22,08107000400,"Census Tract 4, Routt County, Colorado",08107000400,ROUTT,3909,100.6,10.9,85000,103690,36863
23,08107000600,"Census Tract 6, Routt County, Colorado",08107000600,ROUTT,3028,94.7,5.8,94500,112631,45512
24,08107000300,"Census Tract 3, Routt County, Colorado",08107000300,ROUTT,2219,4.4,14.3,52372,73758,35375
25,08107000100,"Census Tract 1, Routt County, Colorado",08107000100,ROUTT,1934,1.8,7.2,71250,97765,39446
26,08051963900,"Census Tract 9639, Gunnison County, Colorado",08051963900,GUNNISON,869,0.5,17.2,55476,78471,33650
27,08051963700,"Census Tract 9637, Gunnison County, Colorado",08051963700,GUNNISON,6461,1153.8,25,41372,46717,19544
28,08051963600,"Census Tract 9636, Gunnison County, Colorado",08051963600,GUNNISON,4040,3.2,7,64393,72153,31050
29,08051963800,"Census Tract 9638, Gunnison County, Colorado",08051963800,GUNNISON,4845,14.9,6.6,72536,86373,34613
30,08021974900,"Census Tract 9749, Conejos County, Colorado",08021974900,CONEJOS,4109,3.9,15.5,43777,55500,21722
31,08021974800,"Census Tract 9748, Conejos County, Colorado",08021974800,CONEJOS,4038,16.9,26.8,29461,42489,16324
32,08037000703,"Census Tract 7.03, Eagle County, Colorado",08037000703,EAGLE,2663,31,6.9,69797,120529,59181
33,08037000301,"Census Tract 3.01, Eagle County, Colorado",08037000301,EAGLE,6327,684,2.8,83288,104815,38272
34,08037000702,"Census Tract 7.02, Eagle County, Colorado",08037000702,EAGLE,1627,92.4,8.3,72672,100729,46966
35,08037000402,"Census Tract 4.02, Eagle County, Colorado",08037000402,EAGLE,4703,72.3,7.2,102460,150215,48862
36,08037000501,"Census Tract 5.01, Eagle County, Colorado",08037000501,EAGLE,630,32.7,7.1,81510,147198,62978
37,08037000502,"Census Tract 5.02, Eagle County, Colorado",08037000502,EAGLE,4421,319.7,9.7,92675,99135,33832
38,08037000302,"Census Tract 3.02, Eagle County, Colorado",08037000302,EAGLE,2188,9.4,15.9,85179,112193,50942
39,08037000403,"Census Tract 4.03, Eagle County, Colorado",08037000403,EAGLE,8382,42,4.2,113915,116233,39467
40,08037000701,"Census Tract 7.01, Eagle County, Colorado",08037000701,EAGLE,1503,193.4,4.9,83125,124433,49227
41,08037000401,"Census Tract 4.01, Eagle County, Colorado",08037000401,EAGLE,4311,58.1,14.1,69093,95759,36565
42,08037000503,"Census Tract 5.03, Eagle County, Colorado",08037000503,EAGLE,6503,248.8,11,61791,100031,36200
43,08037000100,"Census Tract 1, Eagle County, Colorado",08037000100,EAGLE,1597,2.9,11.3,60938,69859,23957
44,08037000600,"Census Tract 6, Eagle County, Colorado",08037000600,EAGLE,1535,6.2,5.8,76750,83154,36596
45,08037000200,"Census Tract 2, Eagle County, Colorado",08037000200,EAGLE,7336,50.9,6.6,93242,112831,37390
46,08045951901,"Census Tract 9519.01, Garfield County, Colorado",08045951901,GARFIELD,4901,34.4,7.7,60500,73374,27957
47,08045951701,"Census Tract 9517.01, Garfield County, Colorado",08045951701,GARFIELD,4014,804.4,5.7,74618,97883,38796
48,08045951902,"Census Tract 9519.02, Garfield County, Colorado",08045951902,GARFIELD,7111,25.6,6.5,75769,87931,32120
49,08045951702,"Census Tract 9517.02, Garfield County, Colorado",08045951702,GARFIELD,3507,798.9,14,40424,60246,27492
50,08045952001,"Census Tract 9520.01, Garfield County, Colorado",08045952001,GARFIELD,5051,150.5,16.6,54943,60525,23653
51,08045952002,"Census Tract 9520.02, Garfield County, Colorado",08045952002,GARFIELD,8266,20.1,10.2,63832,74298,25963
52,08045951803,"Census Tract 9518.03, Garfield County, Colorado",08045951803,GARFIELD,6245,173.5,9.6,77857,86679,29628
53,08045951804,"Census Tract 9518.04, Garfield County, Colorado",08045951804,GARFIELD,3958,108.7,12.5,75536,102562,41595
54,08045951802,"Census Tract 9518.02, Garfield County, Colorado",08045951802,GARFIELD,4249,29.8,1.8,95000,133336,42647
55,08045952100,"Census Tract 9521, Garfield County, Colorado",08045952100,GARFIELD,6987,5.4,8.6,66136,82441,31979
56,08067970704,"Census Tract 9707.04, La Plata County, Colorado",08067970704,LA PLATA,3837,12.7,6.2,66468,98772,47201
57,08067970703,"Census Tract 9707.03, La Plata County, Colorado",08067970703,LA PLATA,5549,97.6,11.8,69065,84274,37282
58,08067970701,"Census Tract 9707.01, La Plata County, Colorado",08067970701,LA PLATA,5265,15.2,7.3,72669,91627,35431
59,08067940300,"Census Tract 9403, La Plata County, Colorado",08067940300,LA PLATA,6073,29.8,8.9,57214,69964,27879
60,08097000500,"Census Tract 5, Pitkin County, Colorado",08097000500,PITKIN,2479,5.4,7.1,79700,137395,54242
61,08097000401,"Census Tract 4.01, Pitkin County, Colorado",08097000401,PITKIN,4542,461.1,8.2,63550,137043,97635
62,08097000402,"Census Tract 4.02, Pitkin County, Colorado",08097000402,PITKIN,3143,92.2,7.7,95268,169624,74745
63,08097000100,"Census Tract 1, Pitkin County, Colorado",08097000100,PITKIN,7583,16.2,6.2,64241,109243,46802
64,08117000402,"Census Tract 4.02, Summit County, Colorado",08117000402,SUMMIT,6340,93.8,10.4,89564,99722,37862
65,08117000401,"Census Tract 4.01, Summit County, Colorado",08117000401,SUMMIT,3864,66.2,13.7,70598,100601,38244
66,08117000100,"Census Tract 1, Summit County, Colorado",08117000100,SUMMIT,8155,31.2,9,69986,93549,39109
67,08117000200,"Census Tract 2, Summit County, Colorado",08117000200,SUMMIT,7162,61.4,13.4,75924,101009,36866
68,08117000300,"Census Tract 3, Summit County, Colorado",08117000300,SUMMIT,4201,40.4,4.6,61404,70292,32048
69,08067971100,"Census Tract 9711, La Plata County, Colorado",08067971100,LA PLATA,4350,462.8,22.3,45353,76496,36755
70,08067971000,"Census Tract 9710, La Plata County, Colorado",08067971000,LA PLATA,2984,1546.1,8.6,59018,81843,37097
71,08067970900,"Census Tract 9709, La Plata County, Colorado",08067970900,LA PLATA,4255,1338.1,7.6,60220,81228,34282
72,08067970800,"Census Tract 9708, La Plata County, Colorado",08067970800,LA PLATA,7197,1650.7,12.1,70026,85712,31872
73,08067940400,"Census Tract 9404, La Plata County, Colorado",08067940400,LA PLATA,5620,11.6,7.7,64755,83996,34726
74,08067970600,"Census Tract 9706, La Plata County, Colorado",08067970600,LA PLATA,9339,33.2,6.5,59831,73859,31523
75,08065961900,"Census Tract 9619, Lake County, Colorado",08065961900,LAKE,2308,6.4,15.5,53276,64522,24460
76,08065961700,"Census Tract 9617, Lake County, Colorado",08065961700,LAKE,5173,335.3,11.6,45458,59512,30290
77,08029965100,"Census Tract 9651, Delta County, Colorado",08029965100,DELTA,4429,241.6,21.3,37037,49745,20418
78,08029965200,"Census Tract 9652, Delta County, Colorado",08029965200,DELTA,3973,36.3,22.5,40371,55453,24186
79,08029964600,"Census Tract 9646, Delta County, Colorado",08029964600,DELTA,3567,13.9,11.2,44205,72284,31212
80,08029965000,"Census Tract 9650, Delta County, Colorado",08029965000,DELTA,4782,15,11.3,50075,68926,28896
81,08029964900,"Census Tract 9649, Delta County, Colorado",08029964900,DELTA,5563,75.2,17.5,43889,64090,26213
82,08029964800,"Census Tract 9648, Delta County, Colorado",08029964800,DELTA,4007,17.2,14.7,48125,59509,19177
83,08029964700,"Census Tract 9647, Delta County, Colorado",08029964700,DELTA,3896,29.5,16.4,42419,62969,29064
84,08003960300,"Census Tract 9603, Alamosa County, Colorado",08003960300,ALAMOSA,5397,381.7,40.5,27959,38173,13799
85,08003960200,"Census Tract 9602, Alamosa County, Colorado",08003960200,ALAMOSA,6526,735.7,27.5,42500,53617,21756
86,08113968102,"Census Tract 9681.02, San Miguel County, Colorado",08113968102,SAN MIGUEL,1963,119.8,15.2,54926,104220,45648
87,08113968101,"Census Tract 9681.01, San Miguel County, Colorado",08113968101,SAN MIGUEL,1921,93,9.8,65313,86948,38209
88,08113968103,"Census Tract 9681.03, San Miguel County, Colorado",08113968103,SAN MIGUEL,2015,6.3,5,74261,100715,49216
89,08113968200,"Census Tract 9682, San Miguel County, Colorado",08113968200,SAN MIGUEL,1905,2,11.9,55536,84932,34490
90,08079973600,"Census Tract 9736, Mineral County, Colorado",08079973600,MINERAL,834,1,12,50385,66639,33018
91,08083941100,"Census Tract 9411, Montezuma County, Colorado",08083941100,MONTEZUMA,1541,2.2,31.2,27804,34724,13208
92,08083969400,"Census Tract 9694, Montezuma County, Colorado",08083969400,MONTEZUMA,4162,1227.7,26.1,34620,42669,17395
93,08083969100,"Census Tract 9691, Montezuma County, Colorado",08083969100,MONTEZUMA,3807,11.8,15,51250,64637,26228
94,08083969200,"Census Tract 9692, Montezuma County, Colorado",08083969200,MONTEZUMA,2974,6.1,17.7,49224,61478,25396
95,08083969000,"Census Tract 9690, Montezuma County, Colorado",08083969000,MONTEZUMA,3094,8.4,4,59313,68794,31060
96,08083969600,"Census Tract 9696, Montezuma County, Colorado",08083969600,MONTEZUMA,5051,38.4,12.5,50203,60974,25100
97,08083969300,"Census Tract 9693, Montezuma County, Colorado",08083969300,MONTEZUMA,5141,319.5,17.7,47961,59166,26999
98,08003960000,"Census Tract 9600, Alamosa County, Colorado",08003960000,ALAMOSA,1637,3,14.3,46447,57239,22582
99,08003960100,"Census Tract 9601, Alamosa County, Colorado",08003960100,ALAMOSA,2785,17.2,13.6,46146,61859,21787
100,08091967600,"Census Tract 9676, Ouray County, Colorado",08091967600,OURAY,4653,8.6,10.4,61333,75322,35544
101,08033000100,"Census Tract 1, Dolores County, Colorado",08033000100,DOLORES,1736,1.6,14.1,40352,56890,23190
102,08109977600,"Census Tract 9776, Saguache County, Colorado",08109977600,SAGUACHE,3387,1.2,21.8,32875,49412,23601
103,08109977700,"Census Tract 9777, Saguache County, Colorado",08109977700,SAGUACHE,2951,7.6,20.1,37321,58159,20735
104,08105976700,"Census Tract 9767, Rio Grande County, Colorado",08105976700,RIO GRANDE,5141,299.2,19.9,36285,47934,19822
105,08105977000,"Census Tract 9770, Rio Grande County, Colorado",08105977000,RIO GRANDE,4515,5.1,14.9,47877,65133,27332
106,08105976800,"Census Tract 9768, Rio Grande County, Colorado",08105976800,RIO GRANDE,1774,419.4,21.7,30437,38552,17399
107,08077001706,"Census Tract 17.06, Mesa County, Colorado",08077001706,MESA,6275,3031.4,35.4,30802,42494,16147
108,08077001707,"Census Tract 17.07, Mesa County, Colorado",08077001707,MESA,5883,3129.3,17,55402,62138,25057
109,08077001001,"Census Tract 10.01, Mesa County, Colorado",08077001001,MESA,4820,2351.2,6.8,44832,76555,35962
110,08077000602,"Census Tract 6.02, Mesa County, Colorado",08077000602,MESA,4709,4709,41,25518,32516,15486
111,08077000500,"Census Tract 5, Mesa County, Colorado",08077000500,MESA,3266,6948.9,35.2,23371,31059,9218
112,08077000400,"Census Tract 4, Mesa County, Colorado",08077000400,MESA,3647,2662,20.4,43713,58889,26457
113,08077001302,"Census Tract 13.02, Mesa County, Colorado",08077001302,MESA,4934,1713.2,5,63822,74508,29823
114,08077001102,"Census Tract 11.02, Mesa County, Colorado",08077001102,MESA,4581,2632.8,11.7,61181,77133,33066
115,08077000300,"Census Tract 3, Mesa County, Colorado",08077000300,MESA,1503,2683.9,21.2,30592,43794,23225
116,08077000200,"Census Tract 2, Mesa County, Colorado",08077000200,MESA,2106,5014.3,25.5,30682,44888,22548
117,08077001404,"Census Tract 14.04, Mesa County, Colorado",08077001404,MESA,4948,765.9,2.6,100094,110058,45614
118,08077001501,"Census Tract 15.01, Mesa County, Colorado",08077001501,MESA,13132,1811.3,15.7,55714,58927,23683
119,08077001403,"Census Tract 14.03, Mesa County, Colorado",08077001403,MESA,3573,1041.7,5.6,75938,90436,36983
120,08077001301,"Census Tract 13.01, Mesa County, Colorado",08077001301,MESA,8891,2370.9,28,42450,52793,21979
121,08077001002,"Census Tract 10.02, Mesa County, Colorado",08077001002,MESA,6736,1935.6,10.2,50482,68242,32564
122,08077000900,"Census Tract 9, Mesa County, Colorado",08077000900,MESA,2915,450.5,21.2,47288,57466,23997
123,08077001101,"Census Tract 11.01, Mesa County, Colorado",08077001101,MESA,7936,3743.4,15.6,50822,59249,25182
124,08077000800,"Census Tract 8, Mesa County, Colorado",08077000800,MESA,8933,1464.4,16.6,53156,62064,20902
125,08077000700,"Census Tract 7, Mesa County, Colorado",08077000700,MESA,3957,2931.1,26.6,37938,50120,23831
126,08077001900,"Census Tract 19, Mesa County, Colorado",08077001900,MESA,5173,3.1,4.5,73569,88593,38127
127,08077000601,"Census Tract 6.01, Mesa County, Colorado",08077000601,MESA,4291,4334.3,31.7,40313,48227,21370
128,08077001402,"Census Tract 14.02, Mesa County, Colorado",08077001402,MESA,5861,632.3,2.8,70221,83971,34885
129,08077001600,"Census Tract 16, Mesa County, Colorado",08077001600,MESA,3548,80.7,2.3,83906,120182,51723
130,08077001502,"Census Tract 15.02, Mesa County, Colorado",08077001502,MESA,7594,19.7,7.6,61250,91302,35035
131,08077001703,"Census Tract 17.03, Mesa County, Colorado",08077001703,MESA,4366,2250.5,8.4,54892,69083,27947
132,08077001800,"Census Tract 18, Mesa County, Colorado",08077001800,MESA,3054,2.7,14.7,64028,73695,28702
133,08077001702,"Census Tract 17.02, Mesa County, Colorado",08077001702,MESA,4589,229.5,13.3,46838,67862,27463
134,08077001705,"Census Tract 17.05, Mesa County, Colorado",08077001705,MESA,5310,2026.7,24.2,38188,48926,20462
135,08077001200,"Census Tract 12, Mesa County, Colorado",08077001200,MESA,2267,180.4,6.6,82143,92833,37147
136,08019014900,"Census Tract 149, Clear Creek County, Colorado",08019014900,CLEAR CREEK,2503,12.4,7.3,55759,72462,36889
137,08053973100,"Census Tract 9731, Hinsdale County, Colorado",08053973100,HINSDALE,820,0.7,12,53056,64899,29574
138,08015000401,"Census Tract 4.01, Chaffee County, Colorado",08015000401,CHAFFEE,4895,13.3,9.1,54366,65361,28350
139,08015000402,"Census Tract 4.02, Chaffee County, Colorado",08015000402,CHAFFEE,3777,21.3,13.1,51100,63224,19743
140,08015000100,"Census Tract 1, Chaffee County, Colorado",08015000100,CHAFFEE,2824,1857.9,11.4,38257,54876,25115
141,08015000200,"Census Tract 2, Chaffee County, Colorado",08015000200,CHAFFEE,4184,98.3,7.2,53918,70661,33994
142,08015000300,"Census Tract 3, Chaffee County, Colorado",08015000300,CHAFFEE,3138,7.4,8.5,67426,83595,37437
143,08111972600,"Census Tract 9726, San Juan County, Colorado",08111972600,SAN JUAN,569,1.5,3.3,46397,61346,28889
144,08085966502,"Census Tract 9665.02, Montrose County, Colorado",08085966502,MONTROSE,3766,1238.8,14.8,52192,58133,25389
145,08085966601,"Census Tract 9666.01, Montrose County, Colorado",08085966601,MONTROSE,4692,719.6,17.2,48438,60054,23313
146,08085966602,"Census Tract 9666.02, Montrose County, Colorado",08085966602,MONTROSE,4664,20.8,5.9,62898,72477,30001
147,08085966201,"Census Tract 9662.01, Montrose County, Colorado",08085966201,MONTROSE,2423,6.5,8.9,44545,57674,25632
148,08085966503,"Census Tract 9665.03, Montrose County, Colorado",08085966503,MONTROSE,3506,123.7,23.8,39531,47518,19153
149,08085966501,"Census Tract 9665.01, Montrose County, Colorado",08085966501,MONTROSE,2895,12.3,8.9,67372,79909,34420
150,08085966202,"Census Tract 9662.02, Montrose County, Colorado",08085966202,MONTROSE,4586,18.2,20.9,41641,50198,18131
151,08085966100,"Census Tract 9661, Montrose County, Colorado",08085966100,MONTROSE,2203,2,11.9,45500,54771,27003
152,08085966400,"Census Tract 9664, Montrose County, Colorado",08085966400,MONTROSE,6087,2035.8,20.7,41081,49073,23376
153,08085966300,"Census Tract 9663, Montrose County, Colorado",08085966300,MONTROSE,6086,1383.2,30.7,36660,51539,22289
154,08007940400,"Census Tract 9404, Archuleta County, Colorado",08007940400,ARCHULETA,1260,3.2,4.9,58068,69127,32042
155,08007974200,"Census Tract 9742, Archuleta County, Colorado",08007974200,ARCHULETA,5561,193.3,11.2,47702,57864,26886
156,08007974400,"Census Tract 9744, Archuleta County, Colorado",08007974400,ARCHULETA,2430,4.3,15.5,51552,85001,38159
157,08007974300,"Census Tract 9743, Archuleta County, Colorado",08007974300,ARCHULETA,3341,9.2,12.1,41674,59499,26007
158,08093000500,"Census Tract 5, Park County, Colorado",08093000500,PARK,2526,3.2,9.4,45607,66581,33330
159,08093000400,"Census Tract 4, Park County, Colorado",08093000400,PARK,1722,1.9,18.2,64194,79312,36585
160,08093000100,"Census Tract 1, Park County, Colorado",08093000100,PARK,6243,32.7,1.6,68191,78424,33561
161,08093000300,"Census Tract 3, Park County, Colorado",08093000300,PARK,2823,25.9,12.7,47614,78222,35610
162,08093000200,"Census Tract 2, Park County, Colorado",08093000200,PARK,3586,21.3,2.8,66579,77120,34503
163,08001009606,"Census Tract 96.06, Adams County, Colorado",08001009606,ADAMS,2817,3912.5,19.9,41475,51553,21050
164,08001009320,"Census Tract 93.20, Adams County, Colorado",08001009320,ADAMS,2760,3729.7,26.7,39190,43043,16760
165,08001009409,"Census Tract 94.09, Adams County, Colorado",08001009409,ADAMS,5494,3712.2,2.3,98958,120511,49333
166,08001009322,"Census Tract 93.22, Adams County, Colorado",08001009322,ADAMS,4590,9180,21.9,48970,73643,26417
167,08001009607,"Census Tract 96.07, Adams County, Colorado",08001009607,ADAMS,4981,5660.2,16.1,46450,60938,22661
168,08001009304,"Census Tract 93.04, Adams County, Colorado",08001009304,ADAMS,6016,4851.6,19.2,51017,64576,24283
169,08001060200,"Census Tract 602, Adams County, Colorado",08001060200,ADAMS,3855,2039.7,9,60361,83870,38122
170,08001009325,"Census Tract 93.25, Adams County, Colorado",08001009325,ADAMS,5281,3592.5,8.7,70917,96007,43618
171,08069001601,"Census Tract 16.01, Larimer County, Colorado",08069001601,LARIMER,1603,709.3,18.7,55750,77071,33471
172,08069001301,"Census Tract 13.01, Larimer County, Colorado",08069001301,LARIMER,3583,181,17.2,63533,76958,33700
173,08069001114,"Census Tract 11.14, Larimer County, Colorado",08069001114,LARIMER,2353,708.7,1.7,128917,155964,58088
174,08069001113,"Census Tract 11.13, Larimer County, Colorado",08069001113,LARIMER,3591,3555.4,5.1,92406,115432,40649
175,08069001107,"Census Tract 11.07, Larimer County, Colorado",08069001107,LARIMER,5380,5326.7,18,51679,66454,28511
176,08069001104,"Census Tract 11.04, Larimer County, Colorado",08069001104,LARIMER,6417,6291.2,19.1,54761,64062,25403
177,08069001112,"Census Tract 11.12, Larimer County, Colorado",08069001112,LARIMER,4915,1950.4,9.1,75313,96139,32792
178,08069001010,"Census Tract 10.10, Larimer County, Colorado",08069001010,LARIMER,2546,2293.7,3.7,106094,126045,54728
179,08069001007,"Census Tract 10.07, Larimer County, Colorado",08069001007,LARIMER,3561,3297.2,13.3,47260,70869,32928
180,08069000300,"Census Tract 3, Larimer County, Colorado",08069000300,LARIMER,2928,1068.6,12.9,82500,91715,37623
181,08069002700,"Census Tract 27, Larimer County, Colorado",08069002700,LARIMER,5981,1154.6,7.6,67010,88584,35883
182,08069002600,"Census Tract 26, Larimer County, Colorado",08069002600,LARIMER,7339,138.4,4,89476,124446,44102
183,08001015000,"Census Tract 150, Adams County, Colorado",08001015000,ADAMS,2884,511.3,19.8,37099,45116,19302
184,08001008538,"Census Tract 85.38, Adams County, Colorado",08001008538,ADAMS,6898,1553.6,3.3,104348,112034,34112
185,08001009326,"Census Tract 93.26, Adams County, Colorado",08001009326,ADAMS,2620,5458.3,2.5,80586,97209,42891
186,08001009206,"Census Tract 92.06, Adams County, Colorado",08001009206,ADAMS,2163,4326,13.3,72667,82046,30748
187,08001008546,"Census Tract 85.46, Adams County, Colorado",08001008546,ADAMS,3436,6737.3,1.4,78992,98817,36545
188,08001008526,"Census Tract 85.26, Adams County, Colorado",08001008526,ADAMS,6660,2378.6,4.3,93364,108069,40731
189,08001008901,"Census Tract 89.01, Adams County, Colorado",08001008901,ADAMS,2494,796.8,22.4,46172,57517,18057
190,08001009608,"Census Tract 96.08, Adams County, Colorado",08001009608,ADAMS,3144,6046.2,5.8,67733,79935,35061
191,08001009604,"Census Tract 96.04, Adams County, Colorado",08001009604,ADAMS,4496,5227.9,19.2,48659,62780,26164
192,08001009202,"Census Tract 92.02, Adams County, Colorado",08001009202,ADAMS,4555,6698.5,12.7,54329,60542,19447
193,08001008801,"Census Tract 88.01, Adams County, Colorado",08001008801,ADAMS,5873,3915.3,28.5,44120,53574,14943
194,08001009401,"Census Tract 94.01, Adams County, Colorado",08001009401,ADAMS,5362,4031.6,7.1,61042,71885,25125
195,08001009406,"Census Tract 94.06, Adams County, Colorado",08001009406,ADAMS,4569,6819.4,11.8,65393,74119,28871
196,08001008542,"Census Tract 85.42, Adams County, Colorado",08001008542,ADAMS,8614,2309.4,4.5,95543,106073,39332
197,08001008536,"Census Tract 85.36, Adams County, Colorado",08001008536,ADAMS,3054,1090.7,2.3,98643,117052,36510
198,08001008539,"Census Tract 85.39, Adams County, Colorado",08001008539,ADAMS,10259,2146.2,2.9,86384,89828,26304
199,08001009327,"Census Tract 93.27, Adams County, Colorado",08001009327,ADAMS,4031,4113.3,17.3,69005,84561,32929
200,08001009207,"Census Tract 92.07, Adams County, Colorado",08001009207,ADAMS,4891,8018,9.1,63032,68197,22714
201,08001008548,"Census Tract 85.48, Adams County, Colorado",08001008548,ADAMS,1544,3216.7,6.3,79188,94234,36143
202,08001060100,"Census Tract 601, Adams County, Colorado",08001060100,ADAMS,7407,2951,12.5,88292,105545,33717
203,08001009410,"Census Tract 94.10, Adams County, Colorado",08001009410,ADAMS,3106,2958.1,1.2,117695,136074,52721
204,08001008802,"Census Tract 88.02, Adams County, Colorado",08001008802,ADAMS,5081,969.7,25.5,44728,56614,15852
205,08001008529,"Census Tract 85.29, Adams County, Colorado",08001008529,ADAMS,7637,3249.8,7.2,70012,70187,30268
206,08001008534,"Census Tract 85.34, Adams County, Colorado",08001008534,ADAMS,4726,5251.1,1.1,91445,92631,27811
207,08001009103,"Census Tract 91.03, Adams County, Colorado",08001009103,ADAMS,3918,2129.3,11.7,51155,54958,16125
208,08001008603,"Census Tract 86.03, Adams County, Colorado",08001008603,ADAMS,1954,2752.1,23.7,38469,48693,19692
209,08001009408,"Census Tract 94.08, Adams County, Colorado",08001009408,ADAMS,4595,3125.9,1.7,102196,121217,44456
210,08001008524,"Census Tract 85.24, Adams County, Colorado",08001008524,ADAMS,8129,4233.9,1.9,92500,113712,36619
211,08001008508,"Census Tract 85.08, Adams County, Colorado",08001008508,ADAMS,5986,6171.1,5.2,71675,83340,28178
212,08001008401,"Census Tract 84.01, Adams County, Colorado",08001008401,ADAMS,4747,24.6,10.2,62209,83602,30074
213,08001008523,"Census Tract 85.23, Adams County, Colorado",08001008523,ADAMS,8228,109.8,8.1,93158,111434,39098
214,08001008402,"Census Tract 84.02, Adams County, Colorado",08001008402,ADAMS,4984,7.4,2.9,80778,85580,29257
215,08069002802,"Census Tract 28.02, Larimer County, Colorado",08069002802,LARIMER,5745,136.3,8.2,52798,77019,37405
216,08069002503,"Census Tract 25.03, Larimer County, Colorado",08069002503,LARIMER,3191,10,5.3,81250,102144,38161
217,08069001608,"Census Tract 16.08, Larimer County, Colorado",08069001608,LARIMER,5740,936.4,4.9,125515,151619,46569
218,08069001607,"Census Tract 16.07, Larimer County, Colorado",08069001607,LARIMER,3948,4028.6,3.3,97321,105117,37182
219,08125963100,"Census Tract 9631, Yuma County, Colorado",08125963100,YUMA,4642,3.5,15.3,45379,68742,25486
220,08001008547,"Census Tract 85.47, Adams County, Colorado",08001008547,ADAMS,3980,8652.2,3.1,78401,88852,28143
221,08001008543,"Census Tract 85.43, Adams County, Colorado",08001008543,ADAMS,8806,3285.8,6.6,78919,98477,31544
222,08001008544,"Census Tract 85.44, Adams County, Colorado",08001008544,ADAMS,5324,5271.3,1.3,110521,121154,37660
223,08001008545,"Census Tract 85.45, Adams County, Colorado",08001008545,ADAMS,7506,6255,2.6,107250,127314,40361
224,08001060000,"Census Tract 600, Adams County, Colorado",08001060000,ADAMS,5449,684.5,2.2,115492,134208,46826
225,08001061200,"Census Tract 612, Adams County, Colorado",08001061200,ADAMS,2017,492,1.3,117500,129087,41227
226,08001008549,"Census Tract 85.49, Adams County, Colorado",08001008549,ADAMS,4320,8470.6,11.3,90950,97258,30740
227,08001008551,"Census Tract 85.51, Adams County, Colorado",08001008551,ADAMS,1547,459.1,2.4,141528,146951,39123
228,08069001606,"Census Tract 16.06, Larimer County, Colorado",08069001606,LARIMER,3135,2508,5.5,89597,112566,42870
229,08069000505,"Census Tract 5.05, Larimer County, Colorado",08069000505,LARIMER,3737,7626.5,45.1,33621,44198,18317
230,08069000202,"Census Tract 2.02, Larimer County, Colorado",08069000202,LARIMER,2390,3229.7,16.5,75250,97800,42506
231,08069001307,"Census Tract 13.07, Larimer County, Colorado",08069001307,LARIMER,4436,1267.4,8.7,68600,101744,42135
232,08069002801,"Census Tract 28.01, Larimer County, Colorado",08069002801,LARIMER,3664,329.5,15.7,68077,81111,42030
233,08069001808,"Census Tract 18.08, Larimer County, Colorado",08069001808,LARIMER,5050,289.6,4,85885,102546,39050
